Nome: VOTUPORANGA
Codigo Estacao: 83623
Latitude: -20.43972221
Longitude: -49.9836111
Altitude: 510.41
Situacao: Fechada
Data Inicial: 2019-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2019-01-01;2,7;null;49;33,6;25,84;15,8;null;90;null;
2019-01-02;3,8;null;6,2;34,2;26,68;19,4;null;90;null;
2019-01-03;4,2;null;5,4;34,8;27,6;19,4;null;78;null;
2019-01-04;5,2;null;0;32,6;26;19,8;null;86;null;
2019-01-05;7,6;null;0;30,2;23,72;17,6;null;76;null;
2019-01-06;null;null;null;null;null;null;null;98;null;
2019-01-07;null;null;0;33,4;26,24;20,2;null;84;null;
2019-01-08;8,8;null;0;35,2;26,84;18,4;null;81;null;
2019-01-09;4,8;null;0;35,2;28,72;19,4;null;82;null;
2019-01-10;7,6;null;0;35,4;28,32;19,8;null;76;null;
2019-01-11;7,6;null;0;33,8;26,88;19,8;null;78;null;
2019-01-12;6,2;null;0;34,6;26,52;17,8;null;82;null;
2019-01-13;null;null;null;null;null;null;null;80;null;
2019-01-14;null;null;0;36,6;29,4;23,8;null;80;null;
2019-01-15;8,2;null;0;36,6;27,6;18,4;null;80;null;
2019-01-16;8,4;null;0;36,6;29,12;19,8;null;80;null;
2019-01-17;2,4;null;0;37,4;25,96;17,8;null;74;null;
2019-01-18;4,8;null;17,6;34,8;26,2;16,8;null;82;null;
2019-01-19;2,8;null;12;34,4;25,36;15,8;null;85;null;
2019-01-20;null;null;null;null;null;null;null;76;null;
2019-01-21;null;null;0;36,4;28,56;22,2;null;71;null;
2019-01-22;5,2;null;0;38,2;29,8;19,2;null;78;null;
2019-01-23;6,8;null;0;38;29,36;20;null;72;null;
2019-01-24;4,4;null;0;36,4;25,68;16,2;null;71;null;
2019-01-25;4,4;null;38;36,4;27,92;19,2;null;88;null;
2019-01-26;1,8;null;0;35,4;26,4;17;null;74;null;
2019-01-27;null;null;null;null;null;null;null;80;null;
2019-01-28;null;null;5,2;35;28,52;21;80;76;null;
2019-01-29;7,5;null;0;36;28,56;19,4;74,5;59;null;
2019-01-30;6,7;null;0;37,4;29,36;18,6;69,75;56;null;
2019-01-31;3;null;0;37;29,84;18,8;79;66;null;
2019-02-01;2;null;0;38;26;17,8;85,25;76;null;
2019-02-02;2,8;null;0;38,4;27,92;18,8;77;59;null;
2019-02-03;2,2;null;17;36;27,4;19,4;77;70;null;
2019-02-04;5;null;0;32,8;25,64;16,8;82,5;72;null;
2019-02-05;6;null;0;30,8;23,52;15,4;84,75;76;null;
2019-02-06;3,8;null;0;32;24,2;17,8;90;74;null;
2019-02-07;2;null;1,4;34,8;26,68;15,8;79,5;64;null;
2019-02-08;6;null;0;36,2;27,8;18,2;74,5;58;null;
2019-02-09;5,4;null;0;36,4;28,16;18,8;78,5;62;null;
2019-02-10;6,8;null;0;36,6;27,6;20,2;80;68;null;
2019-02-11;4,6;null;0;33,4;26,4;17,2;81,75;76;null;
2019-02-12;4,6;null;0;33,2;24,48;17,4;89,5;74;null;
2019-02-13;2,2;null;6;32;24,04;17,2;91,25;79;null;
2019-02-14;1,8;null;2;32;23,48;16,4;91,25;81;null;
2019-02-15;1,8;null;30,4;30,2;23,6;16,2;92,75;83;null;
2019-02-16;2;null;30;28,2;23,04;17;93;86;null;
2019-02-17;2;0;0;30,8;24,96;16,4;84,5;75;null;
2019-02-18;4;null;0;30,8;24,64;17,2;88,75;80;null;
2019-02-19;2;null;3;32;24,28;16;85,75;72;null;
2019-02-20;7;null;1;28,8;23,12;15,6;94,75;91;null;
2019-02-21;1;null;4,8;32,2;24,36;17,2;89;74;null;
2019-02-22;3;null;14;32,6;25,68;16,2;84,5;76;null;
2019-02-23;3,2;null;0;33,6;27,04;17,6;74,5;66;null;
2019-02-24;4,4;null;0;35;27,04;19,4;83;68;1,02888;
2019-02-25;5,6;null;0;35,2;26,76;17,6;77,25;71;null;
2019-02-26;4,2;null;14;30,4;22,16;14,8;94;78;null;
2019-02-27;2,2;null;48;30,6;23,16;15,2;90;78;null;
2019-02-28;,8;null;24;27;22,48;16;92,75;89;null;
2019-03-01;2,8;null;1;29,2;22,88;17,2;92,75;85;null;
2019-03-02;2;null;23;25,8;22,16;17;93,5;87;null;
2019-03-03;2;null;7;30,6;24,72;17,2;89,75;86;null;
2019-03-04;1,2;null;9;30,8;23,48;16,4;90;76;null;
2019-03-05;4;null;3,8;30,4;24,68;17,2;87,75;86;null;
2019-03-06;3;null;0;33;25,12;17,6;83,5;68;null;
2019-03-07;5,6;null;0;33;24,92;17,4;87,75;72;null;
2019-03-08;4,4;null;0;34,8;27,08;17,4;76,5;68;null;
2019-03-09;6,6;null;0;34,6;26,04;19,2;82;64;null;
2019-03-10;3,6;null;0;35,2;24,96;17;85,5;64;null;
2019-03-11;,8;null;1,2;32,6;24,48;16,8;90;84;null;
2019-03-12;1,2;null;0;32,6;24,68;16,4;82;60;null;
2019-03-13;4,2;null;4,7;32,2;25,6;17,2;85,5;78;null;
2019-03-14;3;null;0;32,6;25,04;18,4;83,5;64;null;
2019-03-15;1,8;null;0;31,6;23,86;17,2;89,75;73;null;
2019-03-16;3;null;26,6;32,2;24,86;17,4;82,25;70;null;
2019-03-17;2;null;0;33,2;25,5;17,6;83,25;65;null;
2019-03-18;3;null;0;32;24,82;17,4;89,5;80;null;
2019-03-19;1;null;29;33;25,74;17,4;80,75;66;null;
2019-03-20;3;null;0;32,6;23,98;16,8;85;70;null;
2019-03-21;2;null;7,2;30,6;22,98;16,6;89,25;84;null;
2019-03-22;1;null;5,4;28,8;21,54;12,8;89,5;88;null;
2019-03-23;1,6;null;0;31,4;23,46;14,4;81,5;68;null;
2019-03-24;2,8;null;0;32,6;25,1;15,8;76,5;68;null;
2019-03-25;3,6;null;0;33;25,46;16,8;70,75;55;null;
2019-03-26;4;null;0;33,6;26,54;18;75,25;66;null;
2019-03-27;5,2;null;0;33,6;25,78;16,8;76,25;67;null;
2019-03-28;4,6;null;0;34;25,3;16;74,75;67;null;
2019-03-29;3,8;null;0;33;24,62;15,2;71,75;61;null;
2019-03-30;3,6;null;0;33,2;24,18;14;null;75;null;
2019-03-31;5;null;0;33,4;25,14;14,2;72;56;null;
2019-04-01;8,2;null;0;33,4;24,38;14,2;77;66;null;
2019-04-02;3,8;null;0;33,8;24,66;14,4;78,5;60;null;
2019-04-03;1,2;null;0;34,6;26,06;17,2;74,25;71;null;
2019-04-04;4,8;null;0;34,4;26,58;17,4;73,25;68;null;
2019-04-05;2,6;null;0;33,2;25,58;19;79,75;66;null;
2019-04-06;8,8;null;0;32,6;25,36;18,3;79,5;60;null;
2019-04-07;3,4;null;2;31;24,26;17,8;87;72;null;
2019-04-08;1,4;null;11,2;30;22,9;16,2;88,75;77;null;
2019-04-09;2;null;0;28,6;21,86;15,6;88;74;null;
2019-04-10;1;null;0;30,4;22,02;12,6;83;66;null;
2019-04-11;2,2;null;0;31,6;23,02;13,4;78,75;65;null;
2019-04-12;3,8;null;0;31,2;24,14;16,4;79,25;67;null;
2019-04-13;3;null;19;30,6;25,54;17,8;85,25;83;null;
2019-04-14;1;null;17;28,6;22,34;16,6;96,5;82;null;
2019-04-15;2;null;19;30,6;23,86;16,4;86,5;74;null;
2019-04-16;3;null;0;31,6;23,82;16,4;90,25;81;null;
2019-04-17;2,8;null;7,4;32,2;25,06;16,6;81;62;null;
2019-04-18;2,2;null;0;32;24,82;16,2;72;56;null;
2019-04-19;9;null;0;31,6;24,54;15,6;75,25;58;null;
2019-04-20;2,6;null;0;32,2;24,58;15,4;74;58;null;
2019-04-21;7;null;0;32,8;25,32;16,4;84,5;60;null;
2019-04-22;7,2;null;0;32;24,26;15,8;73;58;null;
2019-04-23;4;null;0;32,2;25,38;17,2;75,75;65;null;
2019-04-24;3,2;null;0;33,2;26,92;16,6;66;56;null;
2019-04-25;4;null;0;32,8;25,94;18,8;78;62;null;
2019-04-26;4,2;null;0;32,8;26,14;17;70,5;66;null;
2019-04-27;6,4;null;0;33,4;26,54;18,8;70,5;56;null;
2019-04-28;4,6;null;0;33;23,38;15,6;81;54;null;
2019-04-29;3,8;null;16;29,4;22,1;15,4;82,5;72;null;
2019-04-30;6,2;null;0;31,6;24;15,4;72,25;56;null;
2019-05-01;2,2;null;0;30,2;23,42;17;80;76;null;
2019-05-02;1,6;null;0;32;24,86;16,4;null;86;null;
2019-05-03;3,2;null;0;33,6;23,98;16,8;null;81;null;
2019-05-04;1,8;null;42,4;31,6;23,22;15,6;null;90;null;
2019-05-05;null;null;null;null;null;null;null;93;null;
2019-05-06;null;null;0;32,4;26,46;21,2;null;88;null;
2019-05-07;3,6;null;0;32,4;25,74;17,4;null;74;null;
2019-05-08;2,8;null;0;31,8;23,9;16;null;85;null;
2019-05-09;3,4;null;0;33,2;24,06;14,6;null;82;null;
2019-05-10;4,2;null;0;32,8;25,58;16,6;null;74;null;
2019-05-11;3,4;null;0;32,4;24,82;16,6;null;82;null;
2019-05-12;null;null;null;null;null;null;null;90;null;
2019-05-13;null;null;0;32,8;25,58;19,8;null;89;null;
2019-05-14;3,2;null;0;31,8;21,06;14,8;null;86;null;
2019-05-15;3,4;null;0;30,6;19,9;10,4;null;88;null;
2019-05-16;2;null;0;30,2;20,62;11,8;null;90;null;
2019-05-17;1,6;null;0;29,4;19,9;12,4;null;80;null;
2019-05-18;2;null;4,4;27,8;20,1;12,2;null;88;null;
2019-05-19;null;null;null;null;null;null;null;88;null;
2019-05-20;null;null;0;29;21,94;16,2;null;84;null;
